ALUNO,TURMA,Acertos parte A,Q17,Q18
hVXnK1xq,FM131,13,8,7.1
IYnzA3Os,TM122,12,8,7.1
fl9124XE,MAM231,11,10,8.7
g8XotMjL,TM122,12,7,6.1
eLazoRak,TM121,11,7,7.6
DroOIkfi,TM122,10,10,6.1
LALf6IRG,QM131,10,6,8.7
i7hGhrAz,BM131,10,7,7.6
FgQuWCVY,TM122,10,7,5.3
HTdBjn55,TM122,10,6,5.5
Pp86O0jO,TM122,11,2,0
MzM14jfc,BM131,9,4,6.9
l1DCXrOp,MAM231,10,5,0
uW674WXy,MAM231,8,10,4.7
8u9Nivom,MAM231,10,0,0
cZ9oW2DC,TM122,8,9,0
tJqvyAch,TM122,7,9,3.7
X2wUPinj,BM131,8,7,0
WUEolUUT,AM231,7,5,6.1
8vWcmJJM,QM131,7,8,2.2
pYB0Wt3v,FM131,7,7,0
pxMbnVYe,BM131,7,3,1.1
eGQSJVHH,MAM231,6,4,5
Rv1Nkdoo,QM131,7,3,0
p2aFOd74,MAM231,6,7,0
WY2ZfgpG,MAM231,6,7,0
80LR9gT3,MAM231,7,2,0
62M7yjT2,BM131,7,2,0
5afZ48i7,TM121,5,5,5
HmAfLNsF,MAM231,6,3,0
WEgSQONr,MAM231,5,8,0
LTGyOwzF,QM131,5,5,0
3SNB0qc8,TM122,6,0,0
oPimu5Pu,MAM231,5,1,0
dTPIqgSZ,BM131,3,0,0
qJtHR7rq,FM131,,,
pP45FaZo,TM121,,,
8QWpkqPm,TM112,,,
2J6iYyPT,BM131,,,
pxxzrBNR,FM131,,,
8WNuqEnw,BM131,,,
uhs2mpod,BM131,,,
XQEzNcVT,TM112,,,
qhaLK6Y9,QM131,,,
eYVU00G2,TM121,,,
p0T6qo5W,TM121,,,
QOokxsU2,BM131,,,
72hdnMub,TM121,,,
rKAgreZY,AM231,,,
VOQlNfln,AM241,,,
N2Pg8WEt,MAM 231,,,
NUUL1MJ7,TM123,,,
JRU1XDKe,Bm131,,,
EbJjFQnr,BM131,,,
TMpQIjgG,TM112,,,
sszv596y,TM213,,,
j7fcfmcT,TM 123,,,
FOR07EqE,TM123,,,
