,ALUNO,TURMA,Acertos parte A,Q17,Q18,Pontos - Objetiva,Pontos - Discursiva,Pontuação final
1,hVXnK1xq,FM131,13.0,8.0,7.1,65.0,15.1,80.1
2,IYnzA3Os,TM122,12.0,8.0,7.1,60.0,15.1,75.1
3,fl9124XE,MAM231,11.0,10.0,8.7,55.0,18.7,73.7
4,g8XotMjL,TM122,12.0,7.0,6.1,60.0,13.1,73.1
5,eLazoRak,TM121,11.0,7.0,7.6,55.0,14.6,69.6
6,DroOIkfi,TM122,10.0,10.0,6.1,50.0,16.1,66.1
7,LALf6IRG,QM131,10.0,6.0,8.7,50.0,14.7,64.7
8,i7hGhrAz,BM131,10.0,7.0,7.6,50.0,14.6,64.6
9,FgQuWCVY,TM122,10.0,7.0,5.3,50.0,12.3,62.3
10,HTdBjn55,TM122,10.0,6.0,5.5,50.0,11.5,61.5
11,Pp86O0jO,TM122,11.0,2.0,0.0,55.0,2.0,57.0
12,MzM14jfc,BM131,9.0,4.0,6.9,45.0,10.9,55.9
13,l1DCXrOp,MAM231,10.0,5.0,0.0,50.0,5.0,55.0
14,uW674WXy,MAM231,8.0,10.0,4.7,40.0,14.7,54.7
15,8u9Nivom,MAM231,10.0,0.0,0.0,50.0,0.0,50.0
16,cZ9oW2DC,TM122,8.0,9.0,0.0,40.0,9.0,49.0
17,tJqvyAch,TM122,7.0,9.0,3.7,35.0,12.7,47.7
18,X2wUPinj,BM131,8.0,7.0,0.0,40.0,7.0,47.0
19,WUEolUUT,AM231,7.0,5.0,6.1,35.0,11.1,46.1
20,8vWcmJJM,QM131,7.0,8.0,2.2,35.0,10.2,45.2
21,pYB0Wt3v,FM131,7.0,7.0,0.0,35.0,7.0,42.0
22,pxMbnVYe,BM131,7.0,3.0,1.1,35.0,4.1,39.1
23,eGQSJVHH,MAM231,6.0,4.0,5.0,30.0,9.0,39.0
24,Rv1Nkdoo,QM131,7.0,3.0,0.0,35.0,3.0,38.0
25,p2aFOd74,MAM231,6.0,7.0,0.0,30.0,7.0,37.0
26,WY2ZfgpG,MAM231,6.0,7.0,0.0,30.0,7.0,37.0
27,80LR9gT3,MAM231,7.0,2.0,0.0,35.0,2.0,37.0
28,62M7yjT2,BM131,7.0,2.0,0.0,35.0,2.0,37.0
29,5afZ48i7,TM121,5.0,5.0,5.0,25.0,10.0,35.0
30,WEgSQONr,MAM231,5.0,8.0,0.0,25.0,8.0,33.0
31,HmAfLNsF,MAM231,6.0,3.0,0.0,30.0,3.0,33.0
32,LTGyOwzF,QM131,5.0,5.0,0.0,25.0,5.0,30.0
33,3SNB0qc8,TM122,6.0,0.0,0.0,30.0,0.0,30.0
34,oPimu5Pu,MAM231,5.0,1.0,0.0,25.0,1.0,26.0
35,dTPIqgSZ,BM131,3.0,0.0,0.0,15.0,0.0,15.0
